,DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
308471,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,3.0,4.06,0.02,-9.80456,-64.25359,8.3
308472,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,3.0,4.0,0.16,-9.79912,-64.26062,11.0
308473,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,3.0,4.55,0.4,-9.79271,-64.16436,5.4
308498,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,2.0,0.0,0.31,-8.94615,-61.50832,5.4
308499,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,CUJUBIM,Amazônia,4.0,0.3,0.06,-8.8425,-62.52885,4.9
308500,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,CUJUBIM,Amazônia,4.0,0.3,0.06,-8.83486,-62.53908,5.7
308501,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,3.0,0.0,0.06,-8.79303,-62.83445,6.3
308502,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,3.0,0.0,0.07,-8.78538,-62.8447,3.9
308503,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,3.0,0.0,0.06,-8.78413,-62.83573,19.2
308504,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,2.0,0.0,0.06,-8.56593,-63.18784,5.5
308505,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,ARIQUEMES,Amazônia,1.0,0.0,0.39,-9.78655,-63.16601,5.9
308506,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,3.0,2.28,0.06,-9.69095,-64.2109,9.0
308507,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,4.0,0.39,0.89,-9.51196,-64.17798,7.5
308508,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,3.0,0.92,0.34,-9.45305,-64.63142,5.0
308509,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,0.0,0.2,0.64,-9.4446,-63.62585,8.0
308510,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,0.0,0.4,0.46,-9.40068,-63.57138,4.2
308511,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,ITAPUÃ DO OESTE,Amazônia,0.0,0.0,0.08,-9.35871,-63.26682,5.2
308512,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,4.0,1.05,0.73,-9.28406,-64.34245,5.7
308513,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,0.0,2.08,0.05,-9.19297,-61.75115,5.8
308514,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,ITAPUÃ DO OESTE,Amazônia,0.0,0.0,0.19,-9.19126,-63.387,8.2
308515,2023-10-05 02:15:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,0.0,0.0,0.78,-8.94764,-64.36346,4.3
308516,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,5.0,0.0,0.21,-13.53879,-61.49219,63.4
308517,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,5.0,0.0,0.21,-13.53751,-61.48309,8.8
308518,2023-10-05 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,5.0,0.0,0.21,-13.53117,-61.50261,24.5
