,DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,Latitude,Longitude,FRP
34,2022-04-14 02:51:00,TERRA_M-M,Brasil,RONDÔNIA,ESPIGÃO D'OESTE,Amazônia,0.0,7.9,0.0,-11.06309,-60.89314,19.8
35,2022-04-14 02:51:00,TERRA_M-M,Brasil,RONDÔNIA,ESPIGÃO D'OESTE,Amazônia,0.0,7.8,0.0,-11.06054,-60.87742,18.5
36,2022-04-14 02:51:00,TERRA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,0.0,6.5,0.0,-9.58441,-62.45668,6.4
39,2022-04-16 02:38:00,TERRA_M-M,Brasil,RONDÔNIA,ESPIGÃO D'OESTE,Amazônia,1.0,6.1,0.0,-11.10652,-60.85144,3.6
632,2022-05-09 02:40:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,5.0,0.4,1.0,-12.198,-63.666,4.4
633,2022-05-09 02:40:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,5.0,0.5,1.0,-12.199,-63.675,8.6
661,2022-05-09 02:43:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,5.0,0.5,1.0,-12.19943,-63.67517,8.6
662,2022-05-09 02:43:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,5.0,0.4,1.0,-12.1981,-63.66595,4.5
671,2022-05-11 02:30:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,7.0,0.0,0.6,-9.579,-62.457,5.3
672,2022-05-11 02:30:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,7.0,15.4,0.0,-13.293,-61.019,13.6
727,2022-05-11 02:32:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,7.0,0.0,0.6,-9.57877,-62.45727,5.3
730,2022-05-11 02:32:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,7.0,15.4,0.0,-13.29314,-61.01898,13.6
828,2022-05-14 03:02:00,TERRA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,1.0,11.6,0.1,-9.7231,-62.91388,10.9
1078,2022-05-21 03:08:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,4.0,0.0,1.0,-9.64696,-65.73633,11.1
1079,2022-05-21 03:08:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,4.0,0.0,1.0,-9.64957,-65.75251,11.4
1080,2022-05-21 03:08:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,4.0,0.0,-999.0,-9.65195,-65.74129,12.3
1170,2022-05-20 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,3.0,0.0,0.8,-12.94197,-61.66676,10.7
1410,2022-04-19 03:08:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,5.0,0.0,0.1,-13.28712,-61.02954,25.5
1417,2022-04-23 02:45:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,0.0,1.5,0.2,-9.64538,-65.73997,22.0
1418,2022-04-23 02:45:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,0.0,1.5,0.2,-9.64666,-65.74921,4.3
1419,2022-04-23 05:53:00,AQUA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,0.0,1.4,0.2,-9.6462,-65.73696,17.2
1528,2022-05-07 06:01:00,AQUA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,12.0,0.0,0.2,-9.24583,-61.7817,12.0
1529,2022-05-07 06:03:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,8.0,0.0,1.0,-12.20389,-63.66661,8.0
1530,2022-05-07 06:03:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,8.0,0.0,1.0,-12.20206,-63.681,7.4
1531,2022-05-07 06:03:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,8.0,0.0,1.0,-12.20126,-63.67521,13.9
1534,2022-05-06 02:13:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,5.0,0.0,0.6,-9.24917,-61.8011,14.0
1535,2022-05-06 05:18:00,AQUA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,4.0,0.0,0.6,-9.25286,-61.78445,9.3
1536,2022-05-06 05:18:00,AQUA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,4.0,0.0,0.6,-9.25226,-61.79425,9.3
1558,2022-05-07 02:58:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,13.0,0.0,0.7,-9.24714,-61.80513,9.2
1559,2022-05-07 02:58:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,12.0,0.0,0.7,-9.24406,-61.79287,15.3
1560,2022-05-07 02:58:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,12.0,0.0,0.5,-9.24402,-61.78613,10.4
1561,2022-05-07 02:58:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,8.0,0.0,1.0,-12.20237,-63.6823,22.0
1562,2022-05-07 02:58:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,8.0,0.0,1.0,-12.20046,-63.66982,11.0
1850,2022-05-07 06:00:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,8.0,0.0,1.0,-12.204,-63.667,8.0
1851,2022-05-07 02:55:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,8.0,0.0,1.0,-12.2,-63.67,11.0
1852,2022-05-07 06:00:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,8.0,0.0,1.0,-12.201,-63.675,13.9
1853,2022-05-07 02:55:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,8.0,0.0,1.0,-12.202,-63.682,22.0
1854,2022-05-07 06:00:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,8.0,0.0,1.0,-12.202,-63.681,7.4
1858,2022-05-07 02:55:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,13.0,0.0,0.7,-9.247,-61.805,9.2
1861,2022-05-07 02:55:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,12.0,0.0,0.7,-9.244,-61.793,15.3
1862,2022-05-07 06:00:00,AQUA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,12.0,0.0,0.3,-9.246,-61.782,12.0
1863,2022-05-07 02:55:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,12.0,0.0,0.5,-9.244,-61.786,10.4
2221,2022-05-25 02:43:00,TERRA_M-M,Brasil,RONDÔNIA,ALTO ALEGRE DOS PARECIS,Amazônia,9.0,0.0,0.2,-12.21505,-61.83237,5.0
2277,2022-05-25 02:43:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,7.0,0.0,0.6,-9.5804,-65.94242,4.0
2278,2022-05-25 02:43:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,9.0,0.0,0.6,-9.06376,-64.49191,4.3
2415,2022-05-27 05:38:00,AQUA_M-M,Brasil,RONDÔNIA,CABIXI,Amazônia,15.0,0.0,0.6,-13.5279,-60.83338,5.8
2528,2022-05-27 02:30:00,TERRA_M-M,Brasil,RONDÔNIA,CABIXI,Amazônia,15.0,0.0,0.7,-13.5283,-60.83387,8.2
2529,2022-05-27 02:32:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,11.0,0.0,0.7,-12.09493,-63.92537,7.0
2530,2022-05-27 02:32:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,11.0,0.0,0.7,-12.09348,-63.91441,8.3
2534,2022-05-28 03:15:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO MIGUEL DO GUAPORÉ,Amazônia,12.0,0.0,1.0,-11.69265,-62.96466,23.2
2766,2022-05-30 06:08:00,AQUA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,13.0,0.0,1.0,-12.21613,-64.35195,7.4
2782,2022-05-29 02:19:00,TERRA_M-M,Brasil,RONDÔNIA,ALTO PARAÍSO,Amazônia,13.0,0.0,1.0,-9.74969,-63.17021,9.4
2783,2022-05-29 05:25:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO MIGUEL DO GUAPORÉ,Amazônia,13.0,0.0,1.0,-11.68315,-62.96421,10.6
2784,2022-05-29 02:19:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO MIGUEL DO GUAPORÉ,Amazônia,13.0,0.0,1.0,-11.68936,-62.96634,30.6
2785,2022-05-29 02:19:00,TERRA_M-M,Brasil,RONDÔNIA,CABIXI,Amazônia,17.0,0.0,0.8,-13.62329,-60.70324,5.9
2786,2022-05-29 02:19:00,TERRA_M-M,Brasil,RONDÔNIA,CABIXI,Amazônia,17.0,0.0,0.5,-13.62474,-60.71461,7.1
2787,2022-05-29 02:19:00,TERRA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,13.0,0.0,0.5,-9.69002,-62.98197,8.8
2788,2022-05-29 02:19:00,TERRA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,13.0,0.0,0.6,-9.69128,-62.97601,17.0
2789,2022-05-29 05:23:00,AQUA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,13.0,0.0,0.8,-9.69267,-62.96926,10.9
2913,2022-05-31 02:06:00,TERRA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,15.0,0.0,0.16,-9.633,-62.86713,17.8
2914,2022-05-31 02:06:00,TERRA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,15.0,0.0,0.57,-9.6416,-62.87249,33.1
2915,2022-05-31 02:06:00,TERRA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,15.0,0.0,1.0,-9.64693,-62.86539,17.4
3134,2022-06-01 02:49:00,TERRA_M-M,Brasil,RONDÔNIA,CUJUBIM,Amazônia,2.0,0.0,0.84,-9.13145,-62.47488,6.9
3135,2022-06-01 02:49:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,16.0,0.0,1.0,-9.4853,-64.49471,5.9
3136,2022-06-01 02:49:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,16.0,0.0,1.0,-9.48674,-64.50461,6.7
3137,2022-06-01 02:49:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,16.0,0.0,0.73,-9.49034,-64.46356,7.1
3138,2022-06-01 02:49:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,16.0,0.0,0.59,-9.49971,-64.46215,9.9
3229,2022-05-30 03:02:00,TERRA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,13.0,0.0,1.0,-12.21707,-64.35923,21.5
3230,2022-05-30 03:02:00,TERRA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,14.0,0.0,1.0,-12.21927,-64.37328,13.9
3231,2022-05-30 06:08:00,AQUA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,14.0,0.0,1.0,-12.21429,-64.36596,8.5
3283,2022-06-03 02:36:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,0.0,0.3,0.92,-9.6479,-65.73986,7.0
3284,2022-06-03 02:36:00,TERRA_M-M,Brasil,RONDÔNIA,ITAPUÃ DO OESTE,Amazônia,4.0,19.4,0.01,-9.26251,-63.27111,3.6
3285,2022-06-03 02:36:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,2.0,6.36,0.31,-9.12144,-64.10091,5.0
3286,2022-06-03 02:36:00,TERRA_M-M,Brasil,RONDÔNIA,CASTANHEIRAS,Amazônia,17.0,0.61,1.0,-11.4884,-61.98232,4.5
3405,2022-06-05 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,CEREJEIRAS,Amazônia,21.0,0.0,0.81,-13.19851,-61.12433,8.8
3490,2022-06-07 02:11:00,TERRA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,3.0,0.75,1.0,-9.64685,-62.86533,14.9
3644,2022-06-08 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTEIRAS DO OESTE,Amazônia,0.0,0.1,0.51,-12.56289,-61.48796,11.4
3750,2022-06-14 02:17:00,TERRA_M-M,Brasil,RONDÔNIA,VILHENA,Amazônia,2.0,0.0,0.03,-12.84224,-60.29073,19.0
3751,2022-06-14 05:21:00,AQUA_M-M,Brasil,RONDÔNIA,VILHENA,Amazônia,3.0,0.0,0.02,-12.83271,-60.28768,8.2
3988,2022-06-17 02:49:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,4.0,0.0,0.85,-9.02633,-61.64029,11.0
4110,2022-06-19 02:36:00,TERRA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,6.0,0.0,1.0,-9.69561,-62.97203,5.1
4111,2022-06-19 02:36:00,TERRA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,6.0,0.0,0.45,-9.68792,-62.98243,11.1
4112,2022-06-19 02:36:00,TERRA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,6.0,0.0,0.36,-9.68663,-62.97337,15.3
4113,2022-06-19 02:36:00,TERRA_M-M,Brasil,RONDÔNIA,CUJUBIM,Amazônia,2.0,0.0,0.95,-9.50426,-62.91995,4.9
4114,2022-06-19 05:38:00,AQUA_M-M,Brasil,RONDÔNIA,RIO CRESPO,Amazônia,6.0,0.0,0.24,-9.68488,-62.97353,10.3
4247,2022-06-21 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,5.0,0.0,1.0,-9.32412,-63.45827,36.0
4248,2022-06-21 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,5.0,0.0,0.96,-9.32378,-63.46375,17.3
4249,2022-06-21 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,5.0,0.0,0.94,-9.32254,-63.44668,4.3
4250,2022-06-21 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,5.0,0.0,1.0,-9.32227,-63.45211,24.6
4251,2022-06-21 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,5.0,0.0,1.0,-12.21428,-64.35875,13.2
4252,2022-06-21 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,5.0,0.0,0.39,-12.17821,-63.51389,9.8
4318,2022-06-21 05:23:00,AQUA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,8.0,0.21,0.94,-9.02637,-61.62522,8.8
4720,2022-06-23 02:11:00,TERRA_M-M,Brasil,RONDÔNIA,VILHENA,Amazônia,5.0,0.0,0.26,-12.86235,-60.22243,9.3
4866,2022-06-24 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,CUJUBIM,Amazônia,7.0,0.0,1.0,-9.46244,-62.55674,14.2
4867,2022-06-24 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,ITAPUÃ DO OESTE,Amazônia,7.0,0.0,1.0,-9.26301,-63.27225,9.5
4868,2022-06-24 05:55:00,AQUA_M-M,Brasil,RONDÔNIA,ITAPUÃ DO OESTE,Amazônia,7.0,0.0,1.0,-9.26375,-63.26932,7.7
4869,2022-06-24 05:55:00,AQUA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,8.0,0.0,0.28,-9.2397,-63.43962,4.4
4870,2022-06-24 05:55:00,AQUA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,10.0,0.0,0.78,-9.11878,-64.09126,3.8
4871,2022-06-24 05:55:00,AQUA_M-M,Brasil,RONDÔNIA,CASTANHEIRAS,Amazônia,9.0,0.0,1.0,-11.48122,-61.97732,12.7
5208,2022-06-26 02:41:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTA BUENO,Amazônia,24.0,0.0,0.6,-12.24863,-60.49743,14.7
5209,2022-06-26 02:41:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTA BUENO,Amazônia,25.0,0.0,0.48,-12.2506,-60.51003,9.4
5210,2022-06-26 02:43:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,27.0,0.0,0.74,-9.02913,-61.63837,6.1
5211,2022-06-26 02:43:00,TERRA_M-M,Brasil,RONDÔNIA,CUJUBIM,Amazônia,19.0,0.0,1.0,-9.19266,-62.53724,4.7
5212,2022-06-26 02:43:00,TERRA_M-M,Brasil,RONDÔNIA,CUJUBIM,Amazônia,21.0,0.0,0.88,-9.20073,-62.52536,7.3
5213,2022-06-26 02:43:00,TERRA_M-M,Brasil,RONDÔNIA,CUJUBIM,Amazônia,22.0,0.0,0.9,-9.20349,-62.51861,5.5
5407,2022-06-28 02:30:00,TERRA_M-M,Brasil,RONDÔNIA,ALTO PARAÍSO,Amazônia,12.0,0.0,0.79,-9.70054,-63.40192,5.8
5408,2022-06-28 02:30:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,17.0,0.0,1.0,-9.2671,-61.80106,4.3
5409,2022-06-28 02:30:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,17.0,0.0,1.0,-9.25813,-61.80238,5.5
5410,2022-06-28 02:30:00,TERRA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,10.0,0.0,0.74,-11.96326,-64.00456,14.5
5411,2022-06-28 02:30:00,TERRA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,10.0,0.0,0.95,-11.96181,-63.99349,22.7
5412,2022-06-28 05:29:00,AQUA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,9.0,0.0,0.92,-11.95349,-63.99194,18.9
5413,2022-06-28 05:29:00,AQUA_M-M,Brasil,RONDÔNIA,COSTA MARQUES,Amazônia,9.0,0.0,1.0,-11.95319,-63.98516,16.1
5745,2022-06-30 02:19:00,TERRA_M-M,Brasil,RONDÔNIA,ALTO PARAÍSO,Amazônia,12.0,0.0,0.85,-9.42394,-63.4926,14.0
5878,2022-07-01 03:02:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,14.0,0.0,1.0,-9.6684,-65.75416,9.7
5985,2022-07-02 02:06:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,21.0,0.0,1.0,-9.2706,-61.80037,29.4
5986,2022-07-02 02:06:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,16.0,0.8,0.45,-9.13483,-63.60155,16.0
5987,2022-07-02 02:06:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,16.0,0.8,0.81,-9.13377,-63.60702,20.6
5988,2022-07-02 02:04:00,TERRA_M-M,Brasil,RONDÔNIA,PIMENTA BUENO,Amazônia,14.0,0.0,0.75,-11.92552,-60.82571,17.5
6116,2022-07-03 02:49:00,TERRA_M-M,Brasil,RONDÔNIA,CAMPO NOVO DE RONDÔNIA,Amazônia,20.0,0.0,1.0,-10.30522,-63.69712,7.2
6117,2022-07-03 02:49:00,TERRA_M-M,Brasil,RONDÔNIA,CUJUBIM,Amazônia,17.0,0.0,1.0,-9.19573,-62.53194,10.8
6118,2022-07-03 02:49:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,22.0,0.0,0.79,-9.26208,-61.78416,8.8
6119,2022-07-03 02:49:00,TERRA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,22.0,0.0,0.62,-9.27324,-61.78238,11.9
6120,2022-07-03 05:46:00,AQUA_M-M,Brasil,RONDÔNIA,MACHADINHO D'OESTE,Amazônia,22.0,0.0,0.49,-9.26479,-61.77731,8.8
6121,2022-07-03 05:46:00,AQUA_M-M,Brasil,RONDÔNIA,ITAPUÃ DO OESTE,Amazônia,15.0,1.58,0.81,-9.23372,-63.25308,9.1
6462,2022-07-05 02:36:00,TERRA_M-M,Brasil,RONDÔNIA,ITAPUÃ DO OESTE,Amazônia,18.0,0.0,0.83,-9.30675,-63.09631,5.0
6516,2022-07-05 05:33:00,AQUA_M-M,Brasil,RONDÔNIA,JI-PARANÁ,Amazônia,24.0,0.0,1.0,-10.8772,-61.8434,5.7
6776,2022-07-07 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,CUJUBIM,Amazônia,22.0,0.0,0.68,-9.34607,-62.50671,6.9
6777,2022-07-07 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,21.0,0.0,0.59,-9.23806,-63.43398,22.5
6778,2022-07-07 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,4.0,0.0,1.0,-8.75124,-63.75251,7.9
6779,2022-07-07 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,SANTA LUZIA D'OESTE,Amazônia,26.0,0.0,0.79,-12.03742,-61.58691,19.5
6780,2022-07-07 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,SÃO MIGUEL DO GUAPORÉ,Amazônia,25.0,0.0,0.88,-11.92006,-62.76702,25.0
6781,2022-07-07 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,NOVO HORIZONTE DO OESTE,Amazônia,20.0,0.0,1.0,-11.67406,-62.04907,11.3
6782,2022-07-07 02:24:00,TERRA_M-M,Brasil,RONDÔNIA,NOVO HORIZONTE DO OESTE,Amazônia,20.0,0.0,1.0,-11.66967,-62.04487,10.9
6783,2022-07-07 05:21:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO MIGUEL DO GUAPORÉ,Amazônia,25.0,0.0,1.0,-11.91376,-62.75869,13.6
6784,2022-07-07 05:21:00,AQUA_M-M,Brasil,RONDÔNIA,SANTA LUZIA D'OESTE,Amazônia,26.0,0.0,0.88,-12.03755,-61.58169,10.7
6785,2022-07-07 05:21:00,AQUA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,21.0,0.0,0.65,-9.23857,-63.43137,28.5
7372,2022-07-08 06:05:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,25.0,0.0,1.0,-12.36639,-63.44284,15.2
7373,2022-07-08 06:05:00,AQUA_M-M,Brasil,RONDÔNIA,SÃO FRANCISCO DO GUAPORÉ,Amazônia,25.0,0.0,0.98,-12.36444,-63.45807,21.2
7387,2022-07-09 05:08:00,AQUA_M-M,Brasil,RONDÔNIA,VILHENA,Amazônia,21.0,0.0,0.62,-12.63587,-60.2327,18.9
7455,2022-07-09 02:11:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,22.0,0.0,0.67,-9.24797,-63.44252,15.1
7456,2022-07-09 02:11:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,23.0,0.0,0.74,-9.23519,-63.44424,16.8
7457,2022-07-09 02:11:00,TERRA_M-M,Brasil,RONDÔNIA,VILHENA,Amazônia,21.0,0.0,0.63,-12.64274,-60.232,28.7
7654,2022-07-10 02:53:00,TERRA_M-M,Brasil,RONDÔNIA,NOVA MAMORÉ,Amazônia,24.0,0.0,0.62,-10.00541,-65.00602,37.6
7655,2022-07-10 02:53:00,TERRA_M-M,Brasil,RONDÔNIA,NOVA MAMORÉ,Amazônia,24.0,0.0,0.84,-10.00703,-65.017,16.0
7656,2022-07-10 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,9.0,0.0,0.59,-8.69702,-63.63418,11.4
7657,2022-07-10 02:53:00,TERRA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,24.0,0.0,0.82,-9.24391,-63.44571,16.7
7658,2022-07-10 02:56:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,21.0,0.0,0.96,-9.54927,-65.6568,4.7
7659,2022-07-10 02:53:00,TERRA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,23.0,0.0,1.0,-9.66582,-65.75803,7.2
7660,2022-07-10 05:53:00,AQUA_M-M,Brasil,RONDÔNIA,NOVA MAMORÉ,Amazônia,24.0,0.0,0.62,-10.0121,-65.00535,5.2
7661,2022-07-10 05:53:00,AQUA_M-M,Brasil,RONDÔNIA,NOVA MAMORÉ,Amazônia,24.0,0.0,0.69,-10.00313,-65.00401,26.0
7662,2022-07-10 05:53:00,AQUA_M-M,Brasil,RONDÔNIA,PORTO VELHO,Amazônia,22.0,0.0,1.0,-9.66115,-65.75087,9.0
7663,2022-07-10 05:53:00,AQUA_M-M,Brasil,RONDÔNIA,CANDEIAS DO JAMARI,Amazônia,23.0,0.0,0.55,-9.23873,-63.4397,10.9
7963,2022-07-11 01:58:00,TERRA_M-M,Brasil,RONDÔNIA,VILHENA,Amazônia,23.0,0.0,0.8,-12.66047,-60.25133,18.8
7964,2022-07-11 01:58:00,TERRA_M-M,Brasil,RONDÔNIA,VILHENA,Amazônia,23.0,0.0,0.8,-12.66262,-60.23454,19.5
8167,2022-07-12 02:41:00,TERRA_M-M,Brasil,RONDÔNIA,ARIQUEMES,Amazônia,28.0,0.0,0.72,-9.82386,-63.51015,6.2
8168,2022-07-12 02:41:00,TERRA_M-M,Brasil,RONDÔNIA,ALTO PARAÍSO,Amazônia,28.0,0.0,0.85,-9.81971,-63.48183,5.9
8169,2022-07-12 02:41:00,TERRA_M-M,Brasil,RONDÔNIA,ALTO PARAÍSO,Amazônia,28.0,0.0,0.89,-9.81833,-63.47238,21.2
8170,2022-07-12 02:41:00,TERRA_M-M,Brasil,RONDÔNIA,ALTO PARAÍSO,Amazônia,30.0,0.0,0.66,-9.7254,-63.20984,10.1
8171,2022-07-12 02:41:00,TERRA_M-M,Brasil,RONDÔNIA,VILHENA,Amazônia,25.0,0.0,0.82,-12.63478,-60.25396,15.8
8172,2022-07-12 02:41:00,TERRA_M-M,Brasil,RONDÔNIA,ALTO PARAÍSO,Amazônia,25.0,0.0,1.0,-9.51017,-63.25491,11.0
8202,2022-07-12 05:40:00,AQUA_M-M,Brasil,RONDÔNIA,ALTO PARAÍSO,Amazônia,28.0,0.0,0.96,-9.81619,-63.47252,8.8
8411,2022-07-14 02:30:00,TERRA_M-M,Brasil,RONDÔNIA,ALTO PARAÍSO,Amazônia,27.0,0.0,1.0,-9.50588,-63.255,5.7
